1	('2d greater',)
1	('2d that',)
1	('2d the',)
1	('2d to',)
1	('2nd thank',)
2	('2s 6d',)
1	('3 1787',)
2	('3 a',)
4	('3 and',)
2	('3 below',)
1	('3 by',)
1	('3 candor',)
2	('3 clause',)
2	('3 educational',)
1	("3 hume's",)
1	('3 ibid',)
3	('3 if',)
1	('3 in',)
2	('3 information',)
2	('3 letter',)
2	('3 limited',)
1	('3 maintenance',)
1	('3 new',)
1	('3 no',)
2	('3 of',)
1	('3 or',)
1	('3 sec',)
1	('3 section',)
1	('3 ten',)
5	('3 the',)
1	('3 there',)
1	('3 these',)
4	('3 this',)
2	('3 to',)
2	('3 vide',)
1	('3 were',)
1	('3 you',)
3	('30 000',)
1	('30 1787',)
1	('30 1788',)
1	('30 concerning',)
2	('30 days',)
2	('30 pounds',)
1	('30 that',)
1	('30 this',)
1	('30 while',)
1	('31 1787',)
1	('31 2',)
1	('31 lyon',)
1	('31 the',)
1	('32 the',)
1	('33 the',)
1	('34 the',)
1	('35 he',)
1	('35 the',)
1	('35 walking',)
1	('36 the',)
1	('37 concerning',)
1	('38 the',)
1	('39 the',)
1	('3d that',)
1	('3d the',)
1	('3d to',)
1	('3rd floor',)
1	('3rd my',)
1	('3rd that',)
1	("4 '",)
1	('4 0',)
1	('4 1',)
1	('4 1787',)
1	('4 35',)
1	('4 add',)
1	('4 among',)
4	('4 and',)
1	('4 certain',)
2	('4 do',)
2	('4 except',)
1	('4 i',)
1	('4 ibid',)
4	('4 information',)
1	('4 or',)
1	('4 p',)
4	('4 pounds',)
2	('4 the',)
1	('4 to',)
1	('4 vide',)
1	('40 on',)
1	('40 pounds',)
1	('40 their',)
1	('4000 pounds',)
1	('41 general',)
1	('42 the',)
1	('421 pennies',)
1	('43 the',)
1	('438 3',)
1	('44 restrictions',)
1	('45 had',)
1	('45 the',)
2	('4557 melan',)
1	('46 the',)
1	('47 the',)
1	('4700 pounds',)
1	('48 these',)
1	('49 method',)
1	('4d i',)
1	('4th hudson',)
1	('4th rooms',)
1	('4th section',)
1	('4th that',)
1	('4th to',)
3	('5 000',)
1	('5 14',)
1	('5 15',)
1	('5 1787',)
4	('5 1788',)
2	('5 do',)
1	('5 entertained',)
2	('5 general',)
1	('5 its',)
1	('5 restraint',)
2	('5 some',)
1	('5 the',)
1	('5 to',)
1	('5 worn',)
1	('50 000',)
1	('50 periodical',)
2	('50 states',)
1	('50 than',)
4	('501 c',)
1	('51 the',)
1	('52 the',)
1	('53 the',)
1	('54 the',)
1	('55 such',)
1	('55 the',)
1	('56 the',)
1	('57 the',)
1	('58 objection',)
1	('59 concerning',)
2	('596 1887',)
1	('5th to',)
1	('6 1661',)
1	('6 1788',)
1	('6 2009',)
1	('6 30',)
1	('6 6',)
1	('6 concerning',)
2	('6 indemnity',)
1	('6 it',)
1	('6 madame',)
1	('6 provisions',)
1	('6 the',)
1	('6 to',)
2	('6 you',)
2	('60 days',)
1	('60 no',)
1	('60 pounds',)
1	('60 the',)
1	('61 the',)
1	('62 the',)
2	('6221541 its',)
1	('63 the',)
2	('64 6221541',)
1	('64 the',)
1	('65 calcine',)
1	('65 the',)
1	('66 objections',)
1	('67 the',)
1	('68 the',)
1	('69 the',)
1	("6d '",)
1	('6d cocktail',)
1	('6d glass',)
2	('7 1787',)
1	('7 1788',)
3	('7 and',)
2	('7 do',)
1	('7 duchess',)
1	('7 judgment',)
1	('7 no',)
2	('7 or',)
1	("7 pope's",)
1	('7 the',)
1	('7 to',)
1	('70 all',)
1	('70 the',)
1	('700 pounds',)
1	('71 the',)
1	('72 the',)
1	('73 the',)
1	('74 the',)
1	('75 one',)
1	('75 the',)
1	('750 pounds',)
1	('76 the',)
1	('77 the',)
1	('78 the',)
1	('79 the',)
1	('7s 6d',)
1	('7th set',)
2	('8 1',)
1	('8 1787',)
3	('8 1788',)
1	('8 art',)
1	('8 had',)
1	('8 madame',)
4	('8 or',)
1	('8 the',)
1	('8 to',)
2	('8 txt',)
2	('8 you',)
2	('8 zip',)
1	('80 and',)
1	('80 the',)
2	('801 596',)
2	('809 north',)
1	('81 in',)
1	('81 the',)
1	('82 the',)
1	('83 the',)
1	('84 certain',)
2	('84116 801',)
1	('85 as',)
1	('85 concluding',)
1	('88 pounds',)
1	("8d '",)
1	('8s breakfast',)
4	('9 1',)
2	('9 1788',)
1	('9 1890',)
2	('9 if',)
1	('9 of',)
3	('9 the',)
1	('9 which',)
4	('90 days',)
1	('90 not',)
1	('95 out',)
2	('99712 but',)
1	('9th inst',)
1	('9th mccauley',)
1	("a '",)
